Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
PENDRA_ROAD,2012,24.5,31.0,18.4,1213.12,1.0,87,0,51,4,0,3
PENDRA_ROAD,2013,24.2,30.7,18.1,1976.09,1.1,107,0,67,1,0,2
PENDRA_ROAD,2014,-,-,-,-,-,-,-,-,-,-,-
POONA,1957,-,-,-,-,-,-,-,-,-,-,-
POONA,1958,24.3,31.3,19.1,725.96,3.5,85,0,10,5,0,0
POONA,1961,-,-,-,-,-,-,-,-,-,-,-
POONA,1962,-,-,-,-,-,-,-,-,-,-,-
POONA,1973,-,-,-,-,-,-,-,-,-,-,-
POONA,1974,-,-,-,-,-,-,-,-,-,-,-
POONA,1975,-,-,-,-,-,-,-,-,-,-,-
POONA,1976,-,-,-,-,-,-,-,-,-,-,-
POONA,1977,24.7,31.5,18.5,-,4.8,109,0,37,5,0,0
POONA,1978,24.2,31.1,18.1,-,6.3,104,1,27,1,0,0
POONA,1979,24.6,31.8,18.4,993.68,5.4,91,1,31,4,0,1
POONA,1980,24.5,31.8,18.1,809.02,5.0,96,0,22,2,0,1
POONA,1981,24.2,31.5,17.7,668.82,4.6,89,3,32,4,0,0
POONA,1982,24.6,31.7,18.3,535.42,4.6,66,0,26,12,0,1
POONA,1983,24.2,31.6,17.4,1061.94,4.4,88,0,11,1,0,0
POONA,1984,24.2,31.3,17.6,878.29,3.3,104,0,15,2,0,0
POONA,1985,24.4,31.6,17.4,600.20,3.9,72,0,5,1,0,1
POONA,1986,24.6,31.8,17.7,563.12,5.2,74,0,22,5,0,1
POONA,1987,25.1,32.0,18.4,638.53,4.5,72,0,29,19,0,2
POONA,1988,-,-,-,-,-,-,-,-,-,-,-
POONA,1989,-,-,-,-,-,-,-,-,-,-,-
POONA,1990,23.8,30.7,17.8,750.55,4.3,111,0,15,5,0,2
POONA,1991,24.0,31.5,17.6,972.57,3.7,90,0,20,3,0,2
POONA,1992,24.2,31.7,17.3,537.44,3.8,78,0,16,11,0,2
POONA,1993,24.0,31.2,17.5,825.26,3.7,105,1,22,21,0,6
POONA,1994,23.8,30.8,17.4,1033.24,3.8,110,0,22,13,0,1
POONA,1995,24.2,31.6,17.9,614.42,4.0,88,0,29,5,0,0
POONA,1996,24.3,31.5,17.9,949.24,4.3,96,0,16,7,0,0
POONA,1997,24.5,31.2,17.9,952.51,4.6,85,0,28,18,0,0
POONA,1998,25.1,31.6,18.6,1273.79,3.9,93,0,28,32,0,2
POONA,1999,24.5,31.2,17.7,627.86,4.4,92,0,25,2,0,0
POONA,2000,24.3,31.7,17.2,-,4.1,80,0,23,0,0,0
POONA,2001,24.5,31.6,17.7,602.66,5.0,88,1,18,1,0,0
POONA,2002,-,-,-,-,-,-,-,-,-,-,-
POONA,2003,24.9,32.3,18.2,667.23,3.5,91,1,15,0,0,0
POONA,2004,24.5,31.8,17.8,781.55,3.4,87,0,23,3,0,0
POONA,2005,-,-,-,-,-,-,-,-,-,-,-
POONA,2006,24.9,31.5,18.3,1259.79,3.4,104,0,31,0,0,3
POONA,2007,24.9,32.2,18.6,830.32,3.6,99,0,29,0,0,1
POONA,2008,24.6,32.1,18.2,762.78,3.3,91,0,24,0,0,1
POONA,2009,25.2,32.7,18.8,906.03,3.2,83,0,27,3,0,4
POONA,2010,25.1,32.2,19.3,1137.39,3.4,104,0,36,2,0,2
POONA,2011,24.2,31.8,17.9,986.56,3.1,107,0,18,0,0,3
POONA,2012,24.6,32.2,17.8,525.24,3.8,90,0,14,1,0,1
POONA,2013,24.4,31.6,18.0,754.91,3.7,105,1,20,0,0,5
POONA,2014,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1961,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1962,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1973,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1974,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1975,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1976,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1977,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1978,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1979,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1980,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1981,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1982,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1983,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1984,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1985,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1986,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1987,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1988,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1989,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1990,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1991,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1992,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1993,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1994,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1995,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1996,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1997,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,1998,27.5,30.5,23.3,2896.90,6.5,153,0,18,15,0,1
Port_Blair,1999,27.0,29.8,23.1,2617.02,7.9,177,0,32,16,0,0
Port_Blair,2000,26.9,29.9,23.5,-,7.1,168,1,24,26,0,0
Port_Blair,2001,27.0,30.0,23.8,-,6.0,157,0,39,20,2,2
Port_Blair,2002,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,2003,27.2,30.3,24.2,2162.78,6.5,162,0,29,19,0,0
Port_Blair,2004,27.2,30.5,24.2,2768.31,5.6,165,0,49,10,0,1
Port_Blair,2005,-,-,-,-,-,-,-,-,-,-,-
Port_Blair,2006,27.2,30.3,23.9,2989.34,7.7,173,0,25,6,0,5
Port_Blair,2007,26.8,30.2,23.9,-,7.8,176,0,30,6,0,1
Port_Blair,2008,26.9,30.2,23.9,4172.71,7.9,163,0,47,4,0,1
Port_Blair,2009,27.2,30.9,24.3,2299.46,7.8,161,0,48,10,0,1
Port_Blair,2010,27.3,31.2,24.5,3011.38,6.2,178,0,31,11,0,2
Port_Blair,2011,26.8,30.8,24.1,-,9.7,184,0,34,10,0,0
Port_Blair,2012,26.9,31.0,24.0,3461.49,8.3,173,0,26,9,0,1
Port_Blair,2013,27.1,30.9,24.3,3064.77,9.5,182,0,44,1,0,1
Port_Blair,2014,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1957,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1958,26.6,31.9,22.0,-,6.7,85,0,37,0,0,0
RAIPUR,1961,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1962,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1973,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1974,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1975,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1976,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1977,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1978,26.6,32.4,21.2,-,4.6,109,1,74,2,2,1
RAIPUR,1979,27.5,33.4,21.8,-,3.9,79,0,52,3,0,1
RAIPUR,1980,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1981,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1982,27.1,32.7,21.4,1018.53,5.0,71,0,45,1,0,1
RAIPUR,1983,26.7,32.5,20.9,1000.75,-,69,0,52,0,0,0
RAIPUR,1984,-,-,-,-,-,72,0,35,3,0,0
RAIPUR,1985,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1986,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1987,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1988,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1989,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1990,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1991,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1992,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1993,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1994,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1995,-,-,-,-,-,-,-,-,-,-,-
RAIPUR,1996,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1973,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1974,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1975,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1976,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1977,-,-,-,-,-,51,0,16,13,0,2
Rajkot,1978,26.8,33.3,20.6,-,16.1,68,1,12,11,0,1
Rajkot,1979,26.4,33.2,20.3,-,16.5,59,2,21,16,0,1
Rajkot,1980,26.8,33.7,20.6,703.35,16.1,45,1,13,11,0,1
Rajkot,1981,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1982,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1983,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1984,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1985,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1986,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1987,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1988,-,-,-,-,-,-,-,-,-,-,-
Rajkot,1989,-,-,-,-,-,38,0,20,9,1,0
Rajkot,1990,26.7,33.5,21.0,472.21,16.1,50,0,9,9,0,0
Rajkot,1991,26.9,33.9,21.1,354.58,15.5,35,0,7,9,0,0
Rajkot,1992,26.9,33.9,20.8,560.06,15.9,42,0,16,7,0,0
Rajkot,1993,27.7,34.6,21.5,392.94,16.4,25,0,14,2,0,0
Rajkot,1994,26.8,33.4,20.8,1109.96,13.7,61,0,9,7,0,0
Rajkot,1995,27.1,34.2,21.0,737.63,10.4,28,0,8,9,0,0
Rajkot,1996,27.2,34.3,20.9,724.38,13.8,29,0,4,6,0,0
Rajkot,1997,26.5,33.2,20.7,672.86,13.8,36,0,26,2,0,1
Rajkot,1998,27.5,34.3,21.4,655.85,15.3,38,0,18,4,0,1
Rajkot,1999,27.3,34.3,21.1,-,12.4,20,0,7,5,0,0
Rajkot,2000,27.8,35.0,21.3,-,11.7,22,0,12,5,0,0
Rajkot,2001,27.4,34.4,21.3,385.32,13.0,42,0,8,11,0,0
Rajkot,2002,-,-,-,-,-,-,-,-,-,-,-
Rajkot,2003,27.3,34.1,21.1,831.11,12.5,40,0,9,5,0,0
Rajkot,2004,27.5,34.6,21.1,739.88,12.1,41,0,12,6,0,0
Rajkot,2005,-,-,-,-,-,-,-,-,-,-,-
Rajkot,2006,27.4,34.2,21.1,772.18,11.0,39,1,9,9,0,0
Rajkot,2007,27.5,34.5,21.2,1175.77,12.0,37,0,17,8,0,1
Rajkot,2008,26.9,34.0,20.5,877.07,13.8,35,0,13,11,0,1
Rajkot,2009,27.8,34.9,21.3,608.84,13.1,27,0,13,12,0,0
Rajkot,2010,27.6,34.7,21.2,1367.04,11.4,64,0,26,7,0,1
Rajkot,2011,27.2,34.3,20.4,923.08,13.2,46,0,19,10,0,1
Rajkot,2012,27.2,34.5,20.8,411.72,12.3,33,0,19,10,0,2
Rajkot,2013,26.8,33.8,20.8,1338.33,12.2,51,0,20,7,0,1
Rajkot,2014,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1974,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1975,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1976,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1977,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1978,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1979,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1980,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1981,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1982,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1983,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1984,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1985,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1986,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1987,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1988,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1989,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1990,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1991,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1992,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1993,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1994,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1995,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1996,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1997,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1998,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,1999,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,2000,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,2001,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,2002,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,2003,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,2004,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,2005,-,-,-,-,-,-,-,-,-,-,-
RAMGUNDAM,2006,27.6,34.0,22.0,-,2.7,63,0,37,0,0,0
RAMGUNDAM,2007,27.5,34.4,21.7,-,2.8,75,0,46,0,0,2
RAMGUNDAM,2008,27.5,34.1,21.7,-,2.9,74,0,48,1,1,5
RAMGUNDAM,2009,28.4,35.2,22.4,-,2.5,62,0,45,2,0,3
RAMGUNDAM,2010,28.4,35.0,22.8,-,2.7,79,0,49,4,0,0
RAMGUNDAM,2011,27.4,34.8,21.4,-,2.0,61,0,38,0,0,0
RAMGUNDAM,2012,27.8,35.3,21.9,-,2.1,74,0,39,0,0,0
RAMGUNDAM,2013,27.6,34.1,21.7,-,2.2,69,0,42,0,0,0
RAMGUNDAM,2014,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1973,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1974,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1975,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1976,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1977,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1978,26.6,30.7,23.1,-,6.1,119,3,12,4,0,0
RATNAGIRI,1979,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1980,27.1,31.4,23.5,2073.14,5.2,109,1,15,6,0,0
RATNAGIRI,1981,27.0,31.5,23.3,-,5.2,103,0,24,2,0,2
RATNAGIRI,1982,-,-,-,-,-,85,0,8,2,0,0
RATNAGIRI,1983,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1984,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1985,26.5,30.9,22.6,2893.82,4.9,104,0,11,0,0,0
RATNAGIRI,1986,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1987,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1988,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1989,-,-,-,-,-,100,0,12,4,0,0
RATNAGIRI,1990,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,1991,26.5,31.0,22.7,2843.26,7.5,101,0,12,3,0,0
RATNAGIRI,1992,26.5,31.1,22.5,2985.27,7.3,95,0,18,7,0,0
RATNAGIRI,1993,26.6,31.1,22.9,3430.54,6.7,125,0,15,12,0,0
RATNAGIRI,1994,26.6,30.9,22.9,2366.04,7.0,122,0,14,6,0,2
RATNAGIRI,1995,26.6,31.2,22.7,2752.06,6.2,108,0,17,15,0,0
RATNAGIRI,1996,26.7,31.2,22.7,3029.21,7.0,107,0,13,10,0,0
RATNAGIRI,1997,26.7,31.1,22.9,2400.30,7.1,96,0,12,1,0,0
RATNAGIRI,1998,27.0,31.3,23.2,3561.88,6.9,116,0,17,2,0,0
RATNAGIRI,1999,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,2000,26.6,31.2,22.5,-,5.9,112,1,16,5,0,1
RATNAGIRI,2001,26.8,31.4,22.7,2413.75,5.7,112,0,12,7,0,1
RATNAGIRI,2002,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,2003,27.1,31.9,23.0,2465.56,4.7,104,0,12,7,0,0
RATNAGIRI,2004,26.9,31.8,22.7,3016.45,5.4,117,0,17,12,0,0
RATNAGIRI,2005,-,-,-,-,-,-,-,-,-,-,-
RATNAGIRI,2006,27.1,31.9,22.9,3416.30,6.1,125,0,23,14,0,0
RATNAGIRI,2007,27.0,31.9,23.0,3786.58,5.4,114,0,13,6,0,0
RATNAGIRI,2008,26.8,31.9,22.5,2635.23,5.3,110,0,17,6,0,0
RATNAGIRI,2009,27.2,32.0,23.3,3107.66,5.0,109,0,24,11,0,0
RATNAGIRI,2010,27.1,31.8,23.2,3873.23,4.3,122,0,31,13,0,0
RATNAGIRI,2011,26.8,32.0,22.3,4204.99,4.6,113,0,18,6,0,0
RATNAGIRI,2012,26.6,31.6,20.8,3413.31,5.2,111,0,14,9,0,1
RATNAGIRI,2013,26.8,31.7,21.1,3341.87,5.4,121,1,18,3,0,0
RATNAGIRI,2014,-,-,-,-,-,-,-,-,-,-,-
Satna,1957,-,-,-,-,-,-,-,-,-,-,-
Satna,1958,25.4,31.8,19.8,915.63,4.3,53,0,21,2,0,0
Satna,1961,-,-,-,-,-,-,-,-,-,-,-
Satna,1962,-,-,-,-,-,-,-,-,-,-,-
Satna,1973,-,-,-,-,-,-,-,-,-,-,-
Satna,1974,-,-,-,-,-,-,-,-,-,-,-
Satna,1975,-,-,-,-,-,-,-,-,-,-,-
Satna,1976,-,-,-,-,-,-,-,-,-,-,-
Satna,1977,-,-,-,-,-,-,-,-,-,-,-
Satna,1978,-,-,-,-,-,-,-,-,-,-,-
Satna,1979,-,-,-,-,-,-,-,-,-,-,-
Satna,1980,-,-,-,-,-,-,-,-,-,-,-
Satna,1981,-,-,-,-,-,-,-,-,-,-,-
Satna,1982,-,-,-,-,-,-,-,-,-,-,-
Satna,1983,-,-,-,-,-,-,-,-,-,-,-
Satna,1984,-,-,-,-,-,-,-,-,-,-,-
Satna,1985,-,-,-,-,-,-,-,-,-,-,-
Satna,1986,-,-,-,-,-,-,-,-,-,-,-
Satna,1987,-,-,-,-,-,-,-,-,-,-,-
Satna,1988,-,-,-,-,-,-,-,-,-,-,-
Satna,1989,-,-,-,-,-,-,-,-,-,-,-
Satna,1990,-,-,-,-,-,-,-,-,-,-,-
Satna,1991,-,-,-,-,-,-,-,-,-,-,-
Satna,1992,-,-,-,-,-,-,-,-,-,-,-
Satna,1993,-,-,-,-,-,-,-,-,-,-,-
Satna,1994,-,-,-,-,-,-,-,-,-,-,-
Satna,1995,-,-,-,-,-,-,-,-,-,-,-
Satna,1996,-,-,-,-,-,-,-,-,-,-,-
Satna,1997,-,-,-,-,-,-,-,-,-,-,-
Satna,1998,-,-,-,-,-,-,-,-,-,-,-
Satna,1999,-,-,-,-,-,-,-,-,-,-,-
Satna,2000,-,-,-,-,-,-,-,-,-,-,-
Satna,2001,-,-,-,-,-,-,-,-,-,-,-
Satna,2002,-,-,-,-,-,-,-,-,-,-,-
Satna,2003,-,-,-,-,-,-,-,-,-,-,-
Satna,2004,-,-,-,-,-,-,-,-,-,-,-
Satna,2005,-,-,-,-,-,-,-,-,-,-,-
Satna,2006,26.3,32.9,20.1,-,2.3,54,0,32,0,0,0
Satna,2007,25.8,32.6,19.8,-,2.5,52,0,30,0,0,0
Satna,2008,25.6,32.1,19.5,-,2.1,54,0,27,5,0,0
Satna,2009,26.5,33.2,20.1,-,2.3,44,0,31,4,0,0
Satna,2010,26.5,33.3,20.3,-,1.9,41,0,23,18,0,0
Satna,2011,25.4,32.3,19.2,-,1.6,66,0,24,6,0,0
Satna,2012,25.8,32.6,19.5,-,1.6,52,0,21,8,0,0
Satna,2013,25.2,31.7,19.4,-,1.5,75,0,56,5,0,0
Satna,2014,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1957,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1958,26.4,32.6,21.1,794.20,10.8,57,0,11,0,0,0
Sholapur,1961,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1962,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1973,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1974,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1975,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1976,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1977,28.0,34.1,21.8,-,-,79,1,25,1,1,2
Sholapur,1978,27.0,33.3,21.3,603.08,6.8,107,0,31,0,0,1
Sholapur,1979,27.8,34.0,21.8,729.30,5.7,82,0,19,3,1,0
Sholapur,1980,27.9,34.3,21.8,-,6.1,89,0,17,0,0,1
Sholapur,1981,27.3,33.8,21.1,969.53,5.3,93,0,23,2,0,1
Sholapur,1982,27.5,34.0,21.4,627.14,3.8,70,0,22,1,0,0
Sholapur,1983,27.3,33.4,21.0,1045.44,3.4,81,0,15,0,0,0
Sholapur,1984,27.6,33.7,21.2,588.51,3.3,57,0,10,2,0,0
Sholapur,1985,27.6,33.9,20.9,425.94,3.1,62,0,16,0,0,0
Sholapur,1986,28.1,34.2,21.5,513.59,3.2,60,0,26,0,0,0
Sholapur,1987,27.7,34.0,21.5,778.56,3.4,78,0,25,0,0,1
Sholapur,1988,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1989,26.7,32.8,20.9,748.29,-,76,0,7,0,0,0
Sholapur,1990,-,-,-,-,-,92,0,12,0,0,0
Sholapur,1991,27.1,33.8,21.2,520.66,2.6,66,1,13,0,0,0
Sholapur,1992,27.6,34.2,20.8,443.19,3.1,66,0,13,0,0,0
Sholapur,1993,27.5,33.8,20.3,870.18,3.8,90,0,18,0,0,0
Sholapur,1994,27.4,33.5,19.7,934.67,4.5,83,0,14,0,0,0
Sholapur,1995,27.8,33.7,18.6,1244.07,4.1,82,0,27,1,0,0
Sholapur,1996,28.2,33.9,18.3,778.51,4.0,72,0,18,0,0,1
Sholapur,1997,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1998,-,-,-,-,-,-,-,-,-,-,-
Sholapur,1999,-,-,-,-,-,64,0,17,0,0,0
Sholapur,2000,-,-,-,-,-,69,0,17,0,0,1
Sholapur,2001,28.4,34.2,21.4,-,3.9,63,0,16,2,0,0
Sholapur,2002,-,-,-,-,-,-,-,-,-,-,-
Sholapur,2003,28.6,35.2,22.1,29.97,3.9,47,0,12,0,0,0
Sholapur,2004,27.6,34.4,21.2,-,4.0,73,0,20,0,0,1
Sholapur,2005,-,-,-,-,-,-,-,-,-,-,-
Sholapur,2006,27.8,33.9,21.2,-,2.9,75,0,30,0,0,0
Sholapur,2007,27.9,34.6,21.4,-,2.8,64,0,23,0,0,0
Sholapur,2008,27.6,34.2,21.1,-,2.3,54,0,27,0,0,0
Sholapur,2009,28.1,34.7,21.5,-,2.5,64,0,21,0,0,0
Sholapur,2010,28.0,34.3,21.9,-,2.1,79,0,19,0,0,1
Sholapur,2011,27.4,34.2,20.8,-,2.8,53,0,15,0,0,0
Sholapur,2012,27.8,34.8,21.1,-,2.6,57,0,15,0,0,0
Sholapur,2013,27.6,34.3,21.3,-,2.6,76,0,20,2,0,1
Sholapur,2014,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1957,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1958,-,-,-,-,-,100,0,61,2,0,0
Siliguri,1961,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1962,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1973,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1974,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1975,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1976,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1977,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1978,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1979,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1980,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1981,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1982,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1983,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1984,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1985,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1986,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1987,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1988,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1989,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1990,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1991,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1992,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1993,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1994,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1995,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1996,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1997,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1998,-,-,-,-,-,-,-,-,-,-,-
Siliguri,1999,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2000,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2001,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2002,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2003,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2004,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2005,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2006,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2009,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2010,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2011,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2012,-,-,-,-,-,-,-,-,-,-,-
Siliguri,2014,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1973,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1974,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1975,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1976,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1977,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1978,-,-,-,-,-,85,16,29,14,0,0
SRINAGAR,1979,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1980,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1981,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1982,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1983,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1984,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1985,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1986,-,-,-,-,-,-,-,-,-,-,-
SRINAGAR,1987,-,-,-,-,-,-,-,-,-,-,-
