inflation,(monthly basis) inflation,inflation (yearly basis),inflation
march 2006 - february 2006,0.00%,march 2006 - march 2005,4.57%
april 2006 - march 2006,0.84%,april 2006 - april 2005,4.65%
may 2006 - april 2006,0.83%,may 2006 - may 2005,5.93%
june 2006 - may 2006,1.65%,june 2006 - june 2005,7.27%
july 2006 - june 2006,0.81%,july 2006 - july 2005,6.33%
august 2006 - july 2006,0.00%,august 2006 - august 2005,5.94%
september 2006 - august 2006,0.81%,september 2006 - september 2005,6.40%
october 2006 - september 2006,1.60%,october 2006 - october 2005,6.92%
november 2006 - october 2006,0.00%,november 2006 - november 2005,5.95%
december 2006 - november 2006,0.00%,december 2006 - december 2005,6.53%
january 2013 - december 2012,0.91%,january 2013 - january 2012,11.62%
february 2013 - january 2013,0.90%,february 2013 - february 2012,12.06%
march 2013 - february 2013,0.45%,march 2013 - march 2012,11.44%
april 2013 - march 2013,0.89%,april 2013 - april 2012,10.24%
may 2013 - april 2013,0.88%,may 2013 - may 2012,10.68%
june 2013 - may 2013,1.32%,june 2013 - june 2012,11.06%
july 2013 - june 2013,1.73%,july 2013 - july 2012,10.85%
august 2013 - july 2013,0.85%,august 2013 - august 2012,10.75%
september 2013 - august 2013,0.42%,september 2013 - september 2012,10.70%
october 2013 - september 2013,1.26%,october 2013 - october 2012,11.06%
november 2013 - october 2013,0.83%,november 2013 - november 2012,11.47%
december 2013 - november 2013,-1.65%,december 2013 - december 2012,9.13%
january 2012 - december 2011,0.51%,january 2012 - january 2011,5.32%
february 2012 - january 2012,0.51%,february 2012 - february 2011,7.57%
march 2012 - february 2012,1.01%,march 2012 - march 2011,8.65%
april 2012 - march 2012,1.99%,april 2012 - april 2011,10.21%
may 2012 - april 2012,0.49%,may 2012 - may 2011,10.16%
june 2012 - may 2012,0.97%,june 2012 - june 2011,10.05%
july 2012 - june 2012,1.92%,july 2012 - july 2011,9.84%
august 2012 - july 2012,0.94%,august 2012 - august 2011,10.31%
september 2012 - august 2012,0.47%,september 2012 - september 2011,9.14%
october 2012 - september 2012,0.93%,october 2012 - october 2011,9.60%
november 2012 - october 2012,0.46%,november 2012 - november 2011,9.55%
december 2012 - november 2012,0.46%,december 2012 - december 2011,11.17%
january 2000 - december 1999,0.00%,january 2000 - january 1999,2.62%
february 2000 - january 2000,-0.23%,february 2000 - february 1999,3.61%
march 2000 - february 2000,0.93%,march 2000 - march 1999,4.83%
april 2000 - march 2000,0.92%,april 2000 - april 1999,5.54%
may 2000 - april 2000,0.46%,may 2000 - may 1999,5.01%
june 2000 - may 2000,0.45%,june 2000 - june 1999,5.24%
july 2000 - june 2000,0.68%,july 2000 - july 1999,4.95%
august 2000 - july 2000,-0.45%,august 2000 - august 1999,3.99%
september 2000 - august 2000,0.23%,september 2000 - september 1999,3.50%
october 2000 - september 2000,1.13%,october 2000 - october 1999,2.75%
november 2000 - october 2000,0.22%,november 2000 - november 1999,2.74%
december 2000 - november 2000,-0.89%,december 2000 - december 1999,3.48%
january 2011 - december 2010,1.62%,january 2011 - january 2010,9.30%
february 2011 - january 2011,-1.60%,february 2011 - february 2010,8.82%
march 2011 - february 2011,0.00%,march 2011 - march 2010,8.82%
april 2011 - march 2011,0.54%,april 2011 - april 2010,9.41%
may 2011 - april 2011,0.54%,may 2011 - may 2010,8.72%
june 2011 - may 2011,1.07%,june 2011 - june 2010,8.62%
july 2011 - june 2011,2.12%,july 2011 - july 2010,8.43%
august 2011 - july 2011,0.52%,august 2011 - august 2010,8.99%
september 2011 - august 2011,1.55%,september 2011 - september 2010,10.06%
october 2011 - september 2011,0.51%,october 2011 - october 2010,9.39%
november 2011 - october 2011,0.51%,november 2011 - november 2010,9.34%
december 2011 - november 2011,-1.01%,december 2011 - december 2010,6.49%
january 1997 - december 1996,0.00%,january 1997 - january 1996,11.11%
february 1997 - january 1997,0.00%,february 1997 - february 1996,10.76%
march 1997 - february 1997,0.29%,march 1997 - march 1996,10.03%
april 1997 - march 1997,0.85%,april 1997 - april 1996,9.26%
may 1997 - april 1997,-0.56%,may 1997 - may 1996,7.32%
june 1997 - may 1997,0.85%,june 1997 - june 1996,6.61%
july 1997 - june 1997,0.85%,july 1997 - july 1996,5.60%
august 1997 - july 1997,0.28%,august 1997 - august 1996,4.66%
september 1997 - august 1997,0.56%,september 1997 - september 1996,4.94%
october 1997 - september 1997,1.11%,october 1997 - october 1996,5.49%
november 1997 - october 1997,0.27%,november 1997 - november 1996,4.87%
december 1997 - november 1997,1.64%,december 1997 - december 1996,6.29%
january 2007 - december 2006,0.00%,january 2007 - january 2006,6.72%
february 2007 - january 2007,0.79%,february 2007 - february 2006,7.56%
march 2007 - february 2007,-0.78%,march 2007 - march 2006,6.72%
april 2007 - march 2007,0.79%,april 2007 - april 2006,6.67%
may 2007 - april 2007,0.78%,may 2007 - may 2006,6.61%
june 2007 - may 2007,0.78%,june 2007 - june 2006,5.69%
july 2007 - june 2007,1.54%,july 2007 - july 2006,6.45%
august 2007 - july 2007,0.76%,august 2007 - august 2006,7.26%
september 2007 - august 2007,0.00%,september 2007 - september 2006,6.40%
october 2007 - september 2007,0.75%,october 2007 - october 2006,5.51%
november 2007 - october 2007,0.00%,november 2007 - november 2006,5.51%
december 2007 - november 2007,0.00%,december 2007 - december 2006,5.51%
january 2002 - december 2001,-0.43%,january 2002 - january 2001,4.94%
february 2002 - january 2002,-0.21%,february 2002 - february 2001,5.19%
march 2002 - february 2002,0.43%,march 2002 - march 2001,5.17%
april 2002 - march 2002,0.21%,april 2002 - april 2001,4.69%
may 2002 - april 2002,0.64%,may 2002 - may 2001,4.66%
june 2002 - may 2002,0.85%,june 2002 - june 2001,4.16%
july 2002 - june 2002,1.05%,july 2002 - july 2001,3.89%
august 2002 - july 2002,0.62%,august 2002 - august 2001,3.86%
september 2002 - august 2002,0.21%,september 2002 - september 2001,4.30%
october 2002 - september 2002,0.41%,october 2002 - october 2001,4.06%
november 2002 - october 2002,0.41%,november 2002 - november 2001,3.60%
december 2002 - november 2002,-1.02%,december 2002 - december 2001,3.20%
january 1996 - december 1995,-0.63%,january 1996 - january 1995,9.00%
february 1996 - january 1996,0.32%,february 1996 - february 1995,8.59%
march 1996 - february 1996,0.95%,march 1996 - march 1995,8.87%
april 1996 - march 1996,1.57%,april 1996 - april 1995,9.83%
may 1996 - april 1996,1.23%,may 1996 - may 1995,9.33%
june 1996 - may 1996,1.52%,june 1996 - june 1995,8.82%
july 1996 - june 1996,1.80%,july 1996 - july 1995,8.31%
august 1996 - july 1996,1.18%,august 1996 - august 1995,8.89%
september 1996 - august 1996,0.29%,september 1996 - september 1995,8.52%
october 1996 - september 1996,0.58%,october 1996 - october 1995,8.46%
november 1996 - october 1996,0.87%,november 1996 - november 1995,8.72%
december 1996 - november 1996,0.29%,december 1996 - december 1995,10.41%
january 2014 - december 2013,-0.84%,january 2014 - january 2013,7.24%
february 2014 - january 2014,0.42%,february 2014 - february 2013,6.73%
march 2014 - february 2014,0.42%,march 2014 - march 2013,6.70%
april 2014 - march 2014,-,april 2014 - april 2013,-
may 2014 - april 2014,-,may 2014 - may 2013,-
june 2014 - may 2014,-,june 2014 - june 2013,-
july 2014 - june 2014,-,july 2014 - july 2013,-
august 2014 - july 2014,-,august 2014 - august 2013,-
september 2014 - august 2014,-,september 2014 - september 2013,-
october 2014 - september 2014,-,october 2014 - october 2013,-
november 2014 - october 2014,-,november 2014 - november 2013,-
december 2014 - november 2014,-,december 2014 - december 2013,-
january 1995 - december 1994,0.00%,january 1995 - january 1994,9.89%
february 1995 - january 1995,0.69%,february 1995 - february 1994,9.81%
march 1995 - february 1995,0.69%,march 1995 - march 1994,9.74%
april 1995 - march 1995,0.68%,april 1995 - april 1994,9.67%
may 1995 - april 1995,1.69%,may 1995 - may 1994,10.29%
june 1995 - may 1995,2.00%,june 1995 - june 1994,10.47%
july 1995 - june 1995,2.29%,july 1995 - july 1994,11.39%
august 1995 - july 1995,0.64%,august 1995 - august 1994,10.92%
september 1995 - august 1995,0.63%,september 1995 - september 1994,10.07%
october 1995 - september 1995,0.63%,october 1995 - october 1994,10.38%
november 1995 - october 1995,0.63%,november 1995 - november 1994,10.31%
december 1995 - november 1995,-1.25%,december 1995 - december 1994,9.69%
january 2009 - december 2008,0.68%,january 2009 - january 2008,10.45%
february 2009 - january 2009,0.00%,february 2009 - february 2008,9.63%
march 2009 - february 2009,0.00%,march 2009 - march 2008,8.03%
april 2009 - march 2009,1.35%,april 2009 - april 2008,8.70%
may 2009 - april 2009,0.67%,may 2009 - may 2008,8.63%
june 2009 - may 2009,1.32%,june 2009 - june 2008,9.29%
july 2009 - june 2009,4.58%,july 2009 - july 2008,11.89%
august 2009 - july 2009,1.25%,august 2009 - august 2008,11.72%
september 2009 - august 2009,0.62%,september 2009 - september 2008,11.64%
october 2009 - september 2009,1.23%,october 2009 - october 2008,11.49%
november 2009 - october 2009,1.82%,november 2009 - november 2008,13.51%
december 2009 - november 2009,0.60%,december 2009 - december 2008,14.97%
january 2010 - december 2009,1.78%,january 2010 - january 2009,16.22%
february 2010 - january 2010,-1.16%,february 2010 - february 2009,14.86%
march 2010 - february 2010,0.00%,march 2010 - march 2009,14.86%
april 2010 - march 2010,0.00%,april 2010 - april 2009,13.33%
may 2010 - april 2010,1.18%,may 2010 - may 2009,13.91%
june 2010 - may 2010,1.16%,june 2010 - june 2009,13.73%
july 2010 - june 2010,2.30%,july 2010 - july 2009,11.25%
august 2010 - july 2010,0.00%,august 2010 - august 2009,9.88%
september 2010 - august 2010,0.56%,september 2010 - september 2009,9.82%
october 2010 - september 2010,1.12%,october 2010 - october 2009,9.70%
november 2010 - october 2010,0.55%,november 2010 - november 2009,8.33%
december 2010 - november 2010,1.65%,december 2010 - december 2009,9.47%
