date,Banana,Onion,Potato
2005-01-01,7.099999999999999,3.492857142857143,2.938333333333333
2005-01-02,7.099999999999999,3.492857142857143,2.938333333333333
2005-01-03,7.099999999999999,3.492857142857143,2.938333333333333
2005-01-04,7.099999999999999,3.492857142857143,2.938333333333333
2005-01-05,6.833333333333333,3.5285714285714285,2.938333333333333
2005-01-06,6.839047619047619,3.492857142857143,2.9299999999999997
2005-01-07,6.8447619047619055,3.6357142857142857,2.9299999999999997
2005-01-08,6.850476190476191,3.492857142857143,2.9466666666666668
2005-01-09,6.856190476190477,3.492857142857143,2.941111111111111
2005-01-10,6.8619047619047615,3.492857142857143,2.9355555555555557
2005-01-11,6.867619047619048,3.492857142857143,2.9299999999999997
2005-01-12,6.873333333333332,3.492857142857143,2.9216666666666664
2005-01-13,6.916666666666667,3.492857142857143,2.9216666666666664
2005-01-14,6.833333333333333,3.5285714285714285,2.938333333333333
2005-01-15,6.75,3.492857142857143,2.9299999999999997
2005-01-16,6.766666666666666,3.5047619047619043,2.938333333333333
2005-01-17,6.783333333333334,3.5166666666666666,2.9466666666666668
2005-01-18,6.8,3.5285714285714285,2.9549999999999996
2005-01-19,6.816666666666667,3.492857142857143,2.9716666666666662
2005-01-20,6.833333333333333,3.492857142857143,2.9716666666666662
2005-01-21,6.916666666666667,3.5,2.9716666666666662
2005-01-22,6.916666666666667,3.5071428571428567,2.9549999999999996
2005-01-23,6.900000000000001,3.5142857142857147,2.960555555555555
2005-01-24,6.883333333333333,3.5214285714285714,2.9661111111111107
2005-01-25,6.866666666666667,3.5285714285714285,2.9716666666666662
2005-01-26,7.0,3.492857142857143,2.9883333333333333
2005-01-27,7.0,3.492857142857143,2.9716666666666662
2005-01-28,7.083333333333333,3.492857142857143,2.98
2005-01-29,6.911011904761904,3.5989795918367347,2.9716666666666662
2005-01-30,6.891468253968253,3.6931972789115646,2.9716666666666662
2005-01-31,6.871924603174603,3.787414965986394,2.9716666666666662
2005-02-01,6.852380952380952,3.8816326530612244,2.9716666666666662
