date,Onion,Potato,Wheat
2005-01-01,3.5,3.5833333333333335,8.065000000000001
2005-01-02,3.5,3.5833333333333335,8.065000000000001
2005-01-03,3.75,3.9166666666666665,8.065000000000001
2005-01-04,3.25,3.6666666666666665,8.065000000000001
2005-01-05,3.25,3.5500000000000003,8.061250000000001
2005-01-06,3.25,3.6166666666666667,8.0995
2005-01-07,3.25,3.3000000000000003,8.1558125
2005-01-08,3.5,3.2777777777777772,8.186875
2005-01-09,3.75,3.4,8.167354166666668
2005-01-10,4.0,3.522222222222222,8.147833333333333
2005-01-11,3.25,3.533333333333333,8.1283125
2005-01-12,3.25,3.3333333333333335,8.157375
2005-01-13,3.5,3.444444444444444,8.0954375
2005-01-14,3.75,3.5750000000000006,8.136666666666667
2005-01-15,4.0,3.7055555555555557,8.177895833333334
2005-01-16,3.75,3.725,8.219125
2005-01-17,4.25,3.6611111111111114,8.26035416666667
2005-01-18,3.5,3.7638888888888893,8.301583333333333
2005-01-19,3.75,3.8666666666666667,8.361812500000001
2005-01-20,4.0,3.716666666666667,8.349875
2005-01-21,3.75,3.4458333333333333,8.3495375
2005-01-22,3.5,3.391666666666667,8.3962
2005-01-23,3.25,3.3430555555555554,8.404466666666668
2005-01-24,3.0,3.2944444444444443,8.412733333333332
2005-01-25,3.25,3.6,8.421000000000001
2005-01-26,3.333333333333333,3.6633333333333327,8.386333333333335
2005-01-27,3.416666666666667,3.7266666666666666,8.351666666666667
2005-01-28,3.5,3.7900000000000005,8.315000000000001
2005-01-29,3.75,3.7399999999999998,8.235000000000001
2005-01-30,3.0,3.5566666666666666,8.259333333333334
2005-01-31,3.25,3.5400000000000005,8.283666666666665
2005-02-01,3.0,3.69,8.308
2005-02-02,3.25,4.0,8.247
2005-02-03,3.166666666666667,3.8611111111111107,8.291166666666665
2005-02-04,3.083333333333333,3.8222222222222224,8.275333333333332
2005-02-05,3.0,3.6333333333333333,8.312499999999998
2005-02-06,3.125,3.638095238095238,8.313333333333333
2005-02-07,3.25,3.642857142857143,8.314166666666665
2005-02-08,3.375,3.6476190476190475,8.315
2005-02-09,3.5,3.6523809523809523,8.2315
2005-02-10,3.416666666666667,3.6849206349206347,8.289615384615384
2005-02-11,3.333333333333333,3.717460317460317,8.211730769230769
2005-02-12,3.25,3.75,8.313846153846153
2005-02-13,3.333333333333333,3.7944444444444443,8.256628205128205
2005-02-14,3.416666666666667,3.838888888888889,8.199410256410257
2005-02-15,3.5,3.8833333333333333,8.142192307692309
2005-02-16,3.375,3.9,8.119307692307691
2005-02-17,3.25,3.9166666666666665,8.156923076923075
2005-02-18,3.125,3.8000000000000003,8.110205128205129
2005-02-19,3.0,3.75,8.02548717948718
2005-02-20,3.5,3.7833333333333337,8.014102564102565
2005-02-21,3.25,3.733333333333333,8.002717948717947
2005-02-22,3.5,3.6833333333333336,7.991333333333334
2005-02-23,3.5,3.7999999999999994,7.972615384615385
2005-02-24,3.5,3.75,8.02373076923077
2005-02-25,3.5,3.658,8.038846153846155
2005-02-26,3.416666666666667,3.6548888888888893,7.904211538461539
2005-02-27,3.333333333333333,3.6406666666666667,7.925576923076925
2005-02-28,3.25,3.6264444444444437,7.946942307692308
2005-03-01,4.25,3.8066666666666666,7.968307692307692
2005-03-02,4.0,3.783333333333333,7.906923076923077
2005-03-03,3.5,3.9,7.946538461538462
2005-03-04,3.5,3.766666666666667,7.872582417582419
2005-03-05,3.5,3.723333333333333,7.928626373626374
2005-03-06,3.375,3.728666666666667,7.882336996336997
2005-03-07,3.25,3.734,7.836047619047619
2005-03-08,3.125,3.739333333333333,7.789758241758241
2005-03-09,3.0,3.744666666666667,7.743468864468864
2005-03-10,2.875,3.75,7.697179487179487
2005-03-11,2.75,3.733333333333333,7.848461538461538
2005-03-12,2.75,3.6861111111111113,7.834826923076922
2005-03-13,2.75,3.7222222222222228,7.810525641025642
2005-03-14,2.75,3.7583333333333333,7.78622435897436
2005-03-15,3.25,3.7944444444444443,7.761923076923077
2005-03-16,2.75,3.913888888888889,7.777538461538462
2005-03-17,3.25,4.216666666666667,7.996153846153847
2005-03-18,3.25,4.05,7.83976923076923
2005-03-19,3.25,4.066666666666666,7.908384615384615
2005-03-20,3.5,4.1499999999999995,7.874714285714285
2005-03-21,3.25,4.233333333333333,7.841043956043956
2005-03-22,3.75,4.3999999999999995,7.807373626373627
2005-03-23,4.25,4.5,7.822430569430568
2005-03-24,3.75,4.166666666666667,7.958357077704905
2005-03-25,3.8055555555555554,4.323333333333333,7.929561363757017
2005-03-26,3.861111111111111,4.404242424242424,7.922996419039899
2005-03-27,3.916666666666667,4.485151515151515,7.9164314743227795
2005-03-28,3.9722222222222223,4.566060606060606,7.90986652960566
2005-03-29,4.027777777777779,4.6469696969696965,7.903301584888541
2005-03-30,4.083333333333333,4.600378787878788,7.896736640171423
2005-03-31,4.138888888888889,4.670454545454546,7.877671695454303
2005-04-01,4.194444444444445,4.65719696969697,7.858606750737186
2005-04-02,4.25,4.6856060606060606,7.839541806020067
2005-04-03,4.25,4.8181818181818175,7.893378556829643
2005-04-04,3.75,4.784090909090909,7.947215307639221
2005-04-05,3.5,4.75,8.001052058448797
2005-04-06,3.75,4.823333333333333,7.948222142591708
2005-04-07,3.5,4.873333333333334,7.937058893401284
2005-04-08,3.5,5.023333333333333,7.955895644210862
2005-04-09,5.0,5.035833333333334,7.949732395020439
2005-04-10,4.708333333333333,5.048333333333333,7.956902479163349
2005-04-11,4.416666666666667,5.060833333333334,7.96407256330626
2005-04-12,4.125,5.073333333333333,7.971242647449169
2005-04-13,3.833333333333333,5.2,7.958412731592079
2005-04-14,3.541666666666666,5.277777777777778,8.028439958592134
2005-04-15,3.25,5.288888888888889,8.018467185592185
2005-04-16,3.25,5.416666666666667,7.982624847374845
2005-04-17,3.5,5.441666666666666,8.01103250915751
2005-04-18,3.4444444444444446,5.485185185185185,8.039440170940171
