date,Banana,Onion,Potato,Rice,Wheat
2005-01-01,4.75,7.0,2.583333333333333,13.2,7.4
2005-01-02,4.75,7.0,2.583333333333333,13.2,7.4
2005-01-03,4.75,7.0,2.583333333333333,13.2,7.4
2005-01-04,4.75,7.0,2.583333333333333,13.2,7.4
2005-01-05,5.25,7.0,2.5999999999999996,13.203333333333333,7.433333333333334
2005-01-06,4.7,7.0,2.5833333333333335,13.166666666666666,7.466666666666666
2005-01-07,4.76,7.0,2.6166666666666667,13.169999999999998,7.5
2005-01-08,4.82,6.9375,2.608333333333333,13.16,7.5
2005-01-09,4.88,6.875,2.616666666666667,13.15,7.5
2005-01-10,4.94,6.8125,2.6250000000000004,13.14,7.5
2005-01-11,5.0,6.75,2.65,13.13,7.5
2005-01-12,4.75,6.5,2.766666666666667,13.110000000000003,7.5
2005-01-13,4.8,6.7,2.75,13.13,7.5
2005-01-14,4.84,6.61,2.7433333333333336,13.12,7.5
2005-01-15,4.88,6.52,2.703333333333333,13.11,7.5
2005-01-16,4.92,6.43,2.646666666666667,13.1,7.5
2005-01-17,4.96,6.34,2.606666666666667,13.09,7.5
2005-01-18,5.0,6.25,2.583333333333333,13.080000000000002,7.5
2005-01-19,5.0,6.0,2.5666666666666664,13.09,7.5
2005-01-20,5.25,5.791666666666666,2.561111111111111,13.088333333333333,7.5
2005-01-21,5.2,5.583333333333334,2.5388888888888888,13.086666666666668,7.52
2005-01-22,5.15,5.375,2.5,13.084999999999999,7.54
2005-01-23,5.1,5.166666666666666,2.477777777777778,13.083333333333334,7.56
2005-01-24,5.05,4.958333333333334,2.438888888888889,13.081666666666667,7.58
2005-01-25,5.0,4.75,2.4166666666666665,13.080000000000002,7.6
2005-01-26,4.928571428571427,4.833333333333333,2.3966666666666665,13.075714285714287,7.6
2005-01-27,4.8571428571428585,4.916666666666667,2.41,13.071428571428573,7.6
2005-01-28,4.785714285714286,5.0,2.4233333333333333,13.067142857142859,7.6
2005-01-29,4.714285714285714,5.0625,2.4050000000000002,13.040357142857143,7.6
2005-01-30,4.6428571428571415,5.125,2.3866666666666667,13.013571428571428,7.6
2005-01-31,4.571428571428571,5.1875,2.3850000000000002,12.986785714285713,7.6
2005-02-01,4.5,5.25,2.3833333333333333,12.959999999999999,7.6
2005-02-02,4.75,5.0,2.4233333333333333,12.98,7.6
2005-02-03,4.75,5.2,2.35,12.959999999999999,7.6
2005-02-04,4.65,5.0,2.3333333333333335,12.959999999999999,7.6
2005-02-05,4.55,5.0,2.3208333333333333,12.959999999999999,7.583333333333334
2005-02-06,4.45,5.0,2.291666666666667,12.959999999999999,7.566666666666666
2005-02-07,4.35,5.0,2.279166666666667,12.959999999999999,7.55
2005-02-08,4.25,5.0,2.2666666666666666,12.959999999999999,7.533333333333334
2005-02-09,4.5,5.25,2.28,12.969999999999999,7.5166666666666675
2005-02-10,4.75,5.0,2.2666666666666666,12.959999999999999,7.5
2005-02-11,4.6,5.2,2.3111111111111113,12.969999999999999,7.5
2005-02-12,4.45,5.2125,2.328888888888889,12.967500000000001,7.475
2005-02-13,4.3,5.225,2.346666666666667,12.965,7.45
2005-02-14,4.15,5.2375,2.353333333333333,12.9625,7.425
2005-02-15,4.0,5.25,2.36,12.959999999999999,7.4
2005-02-16,4.5,5.0,2.3333333333333335,12.95,7.4
2005-02-17,4.0,5.1,2.3666666666666667,12.959999999999999,7.3
2005-02-18,4.083333333333333,5.0,2.466666666666667,12.95,7.3
2005-02-19,4.166666666666667,5.0,2.466666666666667,12.957999999999998,7.28
2005-02-20,4.25,5.0,2.4499999999999997,12.966,7.26
2005-02-21,4.333333333333333,5.0,2.4499999999999997,12.974,7.24
2005-02-22,4.416666666666667,5.0,2.4499999999999997,12.982,7.22
2005-02-23,4.5,5.0,2.4,12.99,7.2
2005-02-24,4.75,5.0,2.4,12.98,7.2
2005-02-25,4.6,5.0,2.4,13.0,7.2
2005-02-26,4.45,5.0625,2.476666666666667,12.99,7.2
2005-02-27,4.3,5.125,2.5533333333333332,12.98,7.2
2005-02-28,4.15,5.1875,2.6300000000000003,12.970000000000002,7.2
2005-03-01,4.0,5.25,2.706666666666667,12.959999999999999,7.2
2005-03-02,4.25,5.0,2.6666666666666665,12.940000000000001,7.2
2005-03-03,4.0,5.0,2.6333333333333333,12.959999999999999,7.2
2005-03-04,4.1,4.8,2.6333333333333333,12.940000000000001,7.2
2005-03-05,4.2,4.7875,2.665277777777778,12.945000000000002,7.166666666666666
2005-03-06,4.3,4.775,2.6972222222222224,12.95,7.133333333333334
