date,Rice
2005-01-01,10.780000000000001
2005-01-02,10.780000000000001
2005-01-03,10.780000000000001
2005-01-04,10.780000000000001
2005-01-05,10.796666666666667
2005-01-06,10.813333333333333
2005-01-07,10.830000000000002
2005-01-08,10.830000000000002
2005-01-09,10.830000000000002
2005-01-10,10.830000000000002
2005-01-11,10.830000000000002
2005-01-12,10.830000000000002
2005-01-13,10.819999999999999
2005-01-14,10.81
2005-01-15,10.8
2005-01-16,10.790000000000001
2005-01-17,10.78
2005-01-18,10.77
2005-01-19,10.77
2005-01-20,10.77
2005-01-21,10.766666666666666
2005-01-22,10.763333333333334
2005-01-23,10.76
2005-01-24,10.756666666666666
2005-01-25,10.753333333333334
2005-01-26,10.75
2005-01-27,10.746666666666666
2005-01-28,10.743333333333334
2005-01-29,10.74
2005-01-30,10.736666666666666
2005-01-31,10.733333333333334
2005-02-01,10.73
2005-02-02,10.73
2005-02-03,10.73
2005-02-04,10.728
2005-02-05,10.726
2005-02-06,10.724
2005-02-07,10.722
2005-02-08,10.72
2005-02-09,10.716666666666667
2005-02-10,10.713333333333335
2005-02-11,10.71
2005-02-12,10.71
2005-02-13,10.71
2005-02-14,10.71
2005-02-15,10.71
2005-02-16,10.71
2005-02-17,10.71
2005-02-18,10.71
2005-02-19,10.71
2005-02-20,10.71
2005-02-21,10.71
2005-02-22,10.71
2005-02-23,10.71
2005-02-24,10.71
2005-02-25,10.71
2005-02-26,10.71
2005-02-27,10.71
2005-02-28,10.71
2005-03-01,10.71
2005-03-02,10.71
2005-03-03,10.71
2005-03-04,10.71
2005-03-05,10.71
2005-03-06,10.71
2005-03-07,10.71
2005-03-08,10.71
2005-03-09,10.71
2005-03-10,10.71
2005-03-11,10.71
2005-03-12,10.71
2005-03-13,10.71
2005-03-14,10.71
2005-03-15,10.71
2005-03-16,10.71
2005-03-17,10.71
2005-03-18,10.71
2005-03-19,10.71
2005-03-20,10.610000000000001
2005-03-21,10.510000000000002
2005-03-22,10.41
2005-03-23,10.74
2005-03-24,10.436666666666667
2005-03-25,10.433333333333334
2005-03-26,10.430000000000001
2005-03-27,10.426666666666666
2005-03-28,10.423333333333336
2005-03-29,10.42
2005-03-30,10.416666666666668
2005-03-31,10.413333333333334
2005-04-01,10.41
2005-04-02,10.41
2005-04-03,10.41
2005-04-04,10.41
2005-04-05,10.41
2005-04-06,10.41
2005-04-07,10.41
2005-04-08,10.41
2005-04-09,10.41
2005-04-10,10.41
2005-04-11,10.41
2005-04-12,10.41
2005-04-13,10.41
2005-04-14,10.41
2005-04-15,10.41
2005-04-16,10.41
2005-04-17,10.41
2005-04-18,10.41
2005-04-19,10.41
2005-04-20,10.41
2005-04-21,10.41
2005-04-22,10.406666666666666
2005-04-23,10.403333333333332
2005-04-24,10.4
2005-04-25,10.396666666666667
2005-04-26,10.393333333333334
2005-04-27,10.39
2005-04-28,10.39
2005-04-29,10.39
2005-04-30,10.39
2005-05-01,10.39
2005-05-02,10.39
