date,Banana,Potato,Wheat
2005-01-01,2.75,2.88,7.39
2005-01-02,2.75,2.88,7.39
2005-01-03,2.75,2.88,7.39
2005-01-04,2.75,2.88,7.39
2005-01-05,2.75,2.25,7.33
2005-01-06,3.0,1.85,7.34
2005-01-07,3.0,1.77,7.383
2005-01-08,3.0,1.93,7.356
2005-01-09,3.0,2.07,7.329
2005-01-10,3.0,2.21,7.302
2005-01-11,3.0,2.35,7.275
2005-01-12,3.1,2.2,7.24375
2005-01-13,3.1,2.1,7.4425
2005-01-14,3.25,1.87,7.42125
2005-01-15,3.0,2.35,7.4
2005-01-16,3.05,2.2333333333333334,7.37875
2005-01-17,3.1,2.1166666666666667,7.3575
2005-01-18,3.15,2.0,7.33625
2005-01-19,3.2,2.38,7.335
2005-01-20,3.25,2.38,7.245
2005-01-21,3.2,2.0,7.348000000000001
2005-01-22,3.15,2.3,7.365268292682927
2005-01-23,3.1,2.283333333333333,7.382536585365853
2005-01-24,3.05,2.2666666666666666,7.39980487804878
2005-01-25,3.0,2.25,7.417073170731706
2005-01-26,3.083333333333333,2.25,7.4730081300813005
2005-01-27,3.166666666666667,2.25,7.528943089430895
2005-01-28,3.25,2.7,7.584878048780487
2005-01-29,3.4375,2.6375,7.394146341463414
2005-01-30,3.625,2.575,7.376747967479674
2005-01-31,3.8125,2.5125,7.359349593495935
2005-02-01,4.0,2.45,7.341951219512195
2005-02-02,3.75,2.4333333333333336,7.156219512195122
2005-02-03,3.5,2.4166666666666665,7.480487804878049
2005-02-04,3.25,2.4,7.1797560975609755
2005-02-05,3.25,2.38,7.449024390243903
2005-02-06,3.25,2.42,7.449959349593495
2005-02-07,3.25,2.46,7.450894308943089
2005-02-08,3.25,2.5,7.451829268292684
2005-02-09,3.75,2.85,7.4260975609756095
2005-02-10,3.75,2.88,7.3653658536585365
2005-02-11,3.75,2.5,7.254634146341464
2005-02-12,3.75,2.55,7.3239024390243905
2005-02-13,3.5,2.56,7.3931707317073165
2005-02-14,3.25,2.57,7.462439024390244
2005-02-15,3.0,2.58,7.296707317073171
2005-02-16,3.0,2.4,7.279308943089431
2005-02-17,3.0,2.5,7.261910569105691
2005-02-18,3.0,2.25,7.244512195121951
2005-02-19,3.0,2.25,7.232195121951219
2005-02-20,3.166666666666667,2.5,7.2198780487804886
2005-02-21,3.333333333333333,2.75,7.207560975609756
2005-02-22,3.5,3.0,7.195243902439025
2005-02-23,3.5,3.0,7.1829268292682915
2005-02-24,3.25,2.88,7.170609756097562
2005-02-25,3.0,2.35,7.158292682926829
2005-02-26,3.5,2.85,7.145975609756098
2005-02-27,3.4828571428571427,2.816666666666667,7.133658536585367
2005-02-28,3.4657142857142857,2.783333333333333,7.121341463414634
2005-03-01,3.4485714285714284,2.75,7.109024390243903
2005-03-02,3.4314285714285715,2.83,7.096707317073172
2005-03-03,3.4142857142857146,2.63,7.084390243902439
2005-03-04,3.397142857142857,2.45,7.054590592334495
2005-03-05,3.38,2.57,7.024790940766551
2005-03-06,3.253333333333333,2.5466666666666664,6.994991289198607
2005-03-07,3.126666666666667,2.523333333333333,6.965191637630662
2005-03-08,3.0,2.5,6.935391986062719
2005-03-09,3.0,2.69,6.905592334494773
2005-03-10,3.0,2.94,6.8757926829268285
2005-03-11,3.25,2.5,6.845993031358885
2005-03-12,3.0,2.5,6.81619337979094
2005-03-13,3.0,2.583333333333333,6.786393728222997
2005-03-14,3.0,2.666666666666667,6.756594076655052
2005-03-15,3.0,2.75,6.726794425087108
2005-03-16,3.0,2.5,6.6969947735191635
2005-03-17,3.0,2.94,6.66719512195122
2005-03-18,3.25,2.5,6.7056097560975605
2005-03-19,3.5,2.75,6.686431797651309
2005-03-20,3.666666666666667,2.875384615384616,6.667253839205058
2005-03-21,3.833333333333333,3.0007692307692313,6.6480758807588085
2005-03-22,4.0,3.1261538461538465,6.628897922312556
2005-03-23,3.95,3.2515384615384613,6.609719963866305
